y,x1,x2,x3,x4
1,3878.78,3879.44,3878.03,3879.44
0,3879.47,3883.22,3879.28,3882.97
1,3883.13,3883.59,3881.91,3882.66
1,3882.78,3884.41,3882.28,3884.13
0,3883.88,3885.06,3883.47,3884.84
0,3885.13,3885.13,3882.94,3883.22
0,3883.28,3883.28,3881.91,3882.06
0,3882.03,3882.28,3880,3881.97
1,3882.09,3882.56,3880.94,3881.47
1,3881.38,3881.84,3880.94,3881.69
0,3881.84,3883.56,3881.84,3883.22
1,3883.31,3883.38,3882.09,3883.16
1,3883.06,3884.5,3883.06,3883.88
1,3883.97,3884.66,3883.03,3884.53
1,3884.41,3884.84,3883.91,3884.84
1,3884.91,3885.47,3884.38,3885.22
1,3885.25,3885.53,3884.84,3885.41
1,3885.66,3886.31,3885.16,3885.84
1,3885.78,3886.38,3885.5,3886.38
1,3886.44,3887.41,3886.06,3886.59
0,3887.22,3888.53,3886.72,3888.44
1,3890.44,3890.44,3870.34,3870.38
0,3870.97,3872.09,3868.53,3871.72
0,3872.13,3873.09,3870.5,3870.88
1,3871.16,3871.34,3868.44,3868.44
1,3868.06,3870,3868.06,3869.69
0,3869.56,3872.56,3868.81,3872.56
1,3872.38,3872.47,3870,3871.34
1,3871.28,3873.09,3870.31,3873.09
0,3873.28,3875.06,3872.84,3875.06
0,3875.22,3875.56,3873.06,3873.19
0,3873.47,3873.47,3870.47,3870.78
0,3870.75,3870.84,3868.69,3868.69
0,3868.5,3868.97,3866.47,3866.78
0,3866.56,3866.63,3865.28,3866.22
1,3866.31,3866.72,3864.22,3864.63
1,3864.28,3865.25,3863.84,3864.81
0,3864.72,3865.31,3864.5,3864.91
1,3864.69,3864.88,3863.28,3863.97
1,3863.78,3865.41,3863.41,3865.19
1,3865.34,3866.78,3865.34,3866.44
0,3866.41,3867.47,3866.09,3866.94
1,3866.88,3866.88,3863.66,3864.25
0,3864.22,3866.38,3863.75,3865.56
0,3865.63,3865.63,3862.78,3862.81
0,3862.75,3863.13,3861.06,3861.53
1,3861.41,3861.53,3860.09,3860.75
1,3860.69,3862.13,3860.28,3862.06
1,3862.25,3865.41,3862.25,3864.75
1,3864.56,3865.81,3864.09,3865.47
1,3865.53,3866.94,3865.22,3866.88
0,3866.84,3867.72,3866.53,3867
1,3866.84,3866.84,3864.28,3864.34
0,3864.31,3864.47,3863,3864.38
0,3864.47,3864.69,3863.5,3863.63
1,3863.28,3863.66,3862.44,3862.44
1,3862.66,3864.09,3861.94,3864
1,3864.03,3866,3863.66,3865.94
0,3866.16,3867.69,3865.44,3867.5
1,3867.44,3867.72,3866.25,3866.34
1,3866.16,3866.78,3865.38,3866.75
0,3866.81,3867.94,3866.69,3867.94
1,3868.06,3868.09,3867.19,3867.19
1,3867.31,3867.72,3866.78,3867.72
1,3867.81,3868.69,3867.53,3868.56
1,3868.75,3869.34,3868.53,3869.34
0,3869.31,3871.03,3869.09,3870.56
0,3870.5,3871.31,3870.19,3870.47
0,3870.44,3870.44,3869.75,3870.06
1,3870.13,3870.13,3869.09,3869.53
1,3869.47,3870.88,3869.34,3870.59
1,3870.75,3872.66,3870.38,3872.31
1,3872.25,3873.13,3872.25,3872.78
0,3872.66,3873.28,3872.09,3873.19
0,3873.31,3873.34,3872.06,3872.19
0,3872.03,3872.31,3871.09,3871.34
1,3871.5,3871.53,3870.19,3870.34
0,3870.28,3870.84,3870.09,3870.41
1,3870.31,3870.66,3869.88,3870.16
1,3870.38,3871.5,3870.16,3871.5
1,3871.63,3872.66,3871.5,3872.66
1,3872.91,3873.72,3872.66,3873.44
0,3873.91,3875.22,3873.91,3875.03
0,3875.13,3875.22,3873.78,3873.81
1,3873.88,3873.88,3873.22,3873.22
0,3873.5,3873.97,3873.06,3873.75
0,3873.56,3873.72,3872.84,3873.72
1,3873.47,3873.81,3872.97,3873.63
0,3873.59,3874.56,3873.59,3874.47
0,3874.28,3874.47,3873.53,3874.19
1,3874.22,3874.5,3873.81,3873.94
0,3873.97,3876.38,3873.97,3876.38
1,3876.41,3876.81,3875.5,3875.78
1,3875.69,3876.16,3875.38,3876.06
1,3876,3876.34,3875.75,3876.13
0,3876.16,3876.66,3875.63,3876.56
0,3876.53,3876.53,3875.16,3875.25
0,3875.28,3875.41,3873.94,3873.94
0,3874,3874,3872.59,3872.59
0,3872.66,3873,3871.78,3871.94
0,3871.97,3872.13,3871.06,3871.63
1,3871.72,3872.22,3871.16,3871.59
1,3871.53,3872.25,3871,3872.16
1,3872.22,3873.06,3872.09,3873.06
0,3872.97,3873.34,3872.59,3873.19
0,3873.25,3873.91,3872.84,3873.03
1,3872.94,3873.97,3872.69,3872.69
1,3872.88,3873.94,3872.66,3873.38
0,3873.28,3874.31,3873.03,3873.84
1,3873.69,3873.94,3872.84,3873.09
1,3873.13,3874.22,3872.5,3873.81
0,3873.72,3875.81,3873.72,3875.56
0,3875.63,3875.84,3874.53,3874.72
0,3874.59,3874.72,3874.19,3874.44
1,3874.41,3874.47,3873.66,3874.25
1,3874.41,3875.47,3874.16,3875.03
1,3875.09,3875.47,3874.75,3875.47
0,3875.44,3876,3875,3875.5
0,3875.38,3875.69,3874.09,3874.47
0,3874.5,3874.84,3872.59,3872.69
0,3872.66,3872.75,3871.59,3871.59
0,3871.56,3871.66,3871.25,3871.59
1,3871.5,3871.66,3871.06,3871.34
1,3871.25,3871.75,3871.16,3871.47
0,3871.53,3872.28,3871.16,3871.78
0,3871.75,3871.97,3870.34,3870.47
0,3870.44,3870.47,3869.44,3869.84
1,3869.78,3869.81,3867.97,3868.41
1,3868.34,3870.69,3868.28,3870.66
1,3870.69,3871.44,3870.44,3871.41
0,3871.56,3872.5,3871.06,3871.66
0,3871.81,3871.91,3871.28,3871.56
0,3871.44,3871.56,3870.47,3870.88
1,3870.81,3871.41,3870.41,3870.84
1,3870.72,3871.66,3870.25,3871.53
0,3871.66,3872.69,3871,3872.66
1,3872.75,3872.75,3870.84,3871.28
0,3871.25,3871.53,3870.75,3871.53
1,3871.56,3871.66,3870.53,3870.66
1,3870.72,3871.25,3870.5,3871.06
1,3871.03,3872.41,3871.03,3872.28
0,3872.16,3872.66,3871.91,3872.63
0,3872.66,3873,3872.16,3872.59
1,3872.56,3872.78,3872.34,3872.56
0,3872.72,3873.84,3872.69,3873.69
0,3873.5,3873.66,3873.25,3873.47
0,3873.41,3873.44,3872.81,3873.44
1,3873.34,3873.34,3872.47,3872.84
1,3872.78,3874.22,3872.78,3874.22
1,3874.13,3874.41,3874,3874.41
0,3874.31,3874.56,3873.78,3874.47
0,3874.38,3874.53,3873.72,3874.44
1,3874.34,3874.41,3874.03,3874.19
1,3874.28,3874.47,3874.06,3874.28
0,3874.41,3874.84,3874.28,3874.56
0,3874.5,3874.5,3873.91,3874.16
0,3874.22,3874.44,3873.59,3873.59
0,3873.78,3873.78,3872.78,3872.91
1,3872.88,3872.97,3872.22,3872.44
1,3872.53,3873,3872.28,3872.94
0,3873,3874.16,3872.94,3873.66
1,3873.63,3873.66,3873.13,3873.56
1,3873.66,3874.22,3873.66,3873.91
0,3873.94,3874.44,3873.78,3874.41
0,3874.28,3874.28,3873.5,3873.97
1,3873.84,3873.84,3872.84,3873.03
1,3873.09,3873.94,3873,3873.91
0,3873.88,3874.28,3873.38,3874.19
0,3874.22,3874.25,3873.75,3874
0,3874.09,3874.09,3873,3873.63
1,3873.44,3873.5,3872.28,3872.28
1,3872.34,3872.91,3871.94,3872.47
1,3872.44,3873.84,3872.44,3873.09
1,3873.34,3873.78,3872.84,3873.66
0,3873.69,3874.13,3873.5,3874.09
1,3874.16,3874.72,3873.69,3873.81
0,3873.78,3874.25,3873.47,3874.25
0,3874.31,3874.31,3873.56,3874.06
0,3874.03,3874.03,3873.28,3873.59
0,3873.75,3873.84,3873.22,3873.41
0,3873.44,3873.44,3872.5,3872.5
0,3872.44,3872.5,3872.09,3872.09
1,3871.94,3872,3871.31,3871.56
0,3871.59,3872.16,3871.25,3871.78
1,3871.81,3872.06,3871.34,3871.59
1,3871.5,3871.84,3871.13,3871.81
0,3871.78,3872.94,3871.44,3872.94
0,3873.09,3873.09,3872.03,3872.53
0,3872.44,3872.53,3871.69,3871.69
1,3871.75,3871.81,3871.13,3871.47
0,3871.41,3871.78,3870.97,3871.53
0,3871.22,3871.44,3870.34,3870.44
1,3870.38,3870.38,3869.72,3869.94
0,3869.88,3870.69,3869.88,3870.53
1,3870.5,3870.56,3869.47,3869.47
1,3869.53,3870.22,3869.41,3870.19
1,3870.03,3870.75,3869.31,3870.75
0,3870.66,3871.19,3870.44,3870.84
1,3870.88,3871.06,3870.53,3870.59
1,3870.5,3871,3869.97,3870.97
0,3871.09,3871.72,3870.5,3871.63
0,3871.72,3871.72,3870.75,3871.31
0,3871.22,3871.44,3871.03,3871.22
1,3871.06,3871.19,3870.66,3871
0,3871.22,3871.63,3870.78,3871.56
1,3871.53,3871.56,3871,3871.06
1,3871.22,3872.56,3870.78,3872.13
1,3872.19,3872.38,3871.78,3872.25
1,3872.22,3873.44,3872.22,3873.22
1,3873.19,3873.72,3872.97,3873.56
1,3873.53,3875.16,3873.25,3875.03
0,3874.97,3876.06,3874.94,3875.56
1,3875.47,3875.66,3873.88,3873.88
1,3873.94,3874.34,3873.63,3873.94
1,3873.75,3874.47,3873.75,3874.47
0,3874.34,3874.81,3874.19,3874.59
0,3874.63,3874.66,3873.56,3873.81
1,3873.66,3873.75,3872.72,3872.78
1,3872.69,3874.06,3872.09,3873.97
0,3874.06,3874.22,3872.91,3874.22
1,3874.16,3874.34,3873.69,3873.97
0,3874,3875.38,3874,3875.38
0,3875.16,3875.16,3874.03,3874.81
0,3874.72,3874.81,3873.94,3874.69
0,3874.59,3874.59,3873.75,3873.78
0,3873.81,3873.94,3873.47,3873.69
0,3873.75,3873.75,3872.53,3872.66
0,3872.41,3872.59,3871.75,3872.09
1,3872.03,3872.22,3871.53,3872.09
0,3872.06,3872.31,3871.69,3872.31
1,3872.34,3872.34,3871.66,3872.03
0,3872.09,3872.72,3871.94,3872.38
1,3872.5,3872.53,3871.97,3872.34
0,3872.28,3872.72,3871.84,3872.72
1,3872.84,3873.13,3872.31,3872.56
1,3872.63,3873.25,3872.38,3873.22
0,3873.28,3873.84,3873,3873.78
0,3873.84,3873.84,3872.59,3872.72
1,3872.78,3872.84,3872.16,3872.25
1,3872.31,3872.94,3872.31,3872.66
1,3872.81,3872.94,3872.47,3872.78
1,3872.84,3873.44,3872.84,3873.41
1,3873.34,3874,3873.31,3873.84
1,3873.81,3874.22,3873.59,3873.91
0,3873.81,3874.47,3873.78,3874.38
0,3874.44,3874.53,3873.19,3873.44
1,3873.5,3873.69,3872.88,3873.28
0,3873.22,3873.47,3872.97,3873.31
0,3873.34,3873.41,3872.63,3872.88
0,3872.75,3872.75,3871.91,3872.53
0,3872.66,3872.69,3871.75,3871.94
0,3871.69,3872.13,3871.53,3871.66
0,3871.72,3871.72,3870.97,3871.5
1,3871.41,3871.41,3869.63,3869.75
0,3869.72,3870.41,3869.72,3869.81
1,3869.69,3869.72,3868.91,3869.06
1,3868.81,3870.25,3868.69,3870.22
0,3870.19,3870.66,3869.66,3870.56
0,3870.72,3870.91,3870.25,3870.31
0,3870.34,3870.38,3869.69,3869.88
0,3869.69,3870.06,3868.91,3869.25
0,3869.22,3869.25,3868.5,3868.56
0,3868.5,3868.69,3868.06,3868.38
0,3868.47,3868.47,3866.56,3866.94
1,3867,3867,3866,3866.63
1,3866.72,3867.78,3866.19,3867.78
0,3867.91,3868.19,3867.69,3867.81
0,3867.94,3868.47,3867.72,3867.75
0,3867.69,3867.75,3865.84,3865.91
1,3865.88,3866.13,3865.16,3865.88
0,3865.78,3866.44,3864.69,3866.09
1,3866.03,3866.5,3864.59,3865.06
1,3865.38,3866.66,3865.38,3866.22
0,3866.25,3867.84,3865.53,3867.75
0,3867.81,3868.13,3865.72,3865.72
0,3865.53,3865.88,3864,3864.25
0,3864.19,3864.84,3862.94,3863.41
0,3863.34,3864.09,3862.84,3863.38
0,3862.53,3863.34,3861.75,3862.84
0,3862.66,3862.84,3861,3861
0,3861.03,3861.03,3858.31,3858.44
1,3858.13,3858.16,3856.41,3857.5
1,3857.59,3860.97,3857.59,3860.81
0,3860.66,3862.09,3860.66,3861.97
0,3861.88,3862.63,3861.28,3861.34
0,3861.44,3861.84,3860.94,3861.34
1,3861.5,3862,3859.22,3859.66
1,3859.53,3860.31,3859.34,3860.19
1,3860.06,3860.91,3859.81,3860.91
1,3860.97,3861.34,3860.59,3861.16
1,3861.34,3862.88,3860.91,3862.88
1,3863.03,3864.81,3862.97,3864.81
0,3864.63,3865.63,3864.56,3865.34
1,3865.28,3865.28,3863.75,3864
1,3864.13,3865,3863.59,3864.75
1,3864.63,3865.72,3864.63,3865.25
0,3865.28,3866,3865.06,3865.75
1,3865.66,3865.72,3863.56,3864.09
1,3863.97,3864.41,3863.03,3864.34
1,3864.31,3865.22,3864.28,3864.56
0,3864.38,3865.44,3863.91,3865.25
0,3865.22,3865.28,3863.5,3864.75
1,3864.59,3865.94,3864.56,3864.66
0,3864.72,3866.44,3864.66,3866.44
0,3866.38,3867.09,3865.5,3865.53
1,3865.28,3866.41,3864.91,3865.25
0,3865.06,3867.34,3865.06,3867.34
0,3867.28,3867.53,3865.91,3866.84
1,3866.66,3866.66,3865.81,3866.31
1,3866.41,3867.16,3865.59,3866.75
1,3866.69,3867.47,3866.06,3867.06
0,3867.31,3867.44,3866.38,3867.31
0,3867.28,3867.59,3866.81,3867.28
0,3867.31,3867.47,3866.28,3866.53
0,3866.38,3866.38,3864.94,3865.22
0,3865.16,3865.25,3864.53,3865.09
0,3864.97,3864.97,3863.34,3863.63
0,3863.59,3863.72,3862.69,3863.28
1,3863.31,3863.5,3862.47,3862.53
0,3862.56,3863.16,3862.53,3862.84
1,3863,3863.5,3861.53,3861.53
0,3861.63,3861.88,3860.66,3861.88
1,3861.75,3861.81,3860.53,3861
0,3861.09,3861.91,3861,3861.5
0,3861.56,3862,3860.41,3860.41
0,3860.34,3860.34,3858.41,3859.81
1,3859.88,3861.31,3859.59,3859.69
1,3859.84,3861.69,3859.84,3861.56
1,3861.69,3862.28,3861.25,3861.66
1,3861.91,3863.09,3861.72,3863.06
1,3863.16,3864.84,3863.16,3864.81
1,3864.78,3865.03,3863.91,3864.94
0,3865.09,3865.84,3864.84,3865.75
0,3865.88,3866.44,3864.88,3865.06
0,3865,3865.81,3863.88,3864.22
0,3864.25,3864.75,3863.5,3864.09
0,3864.16,3864.16,3862.28,3862.56
0,3862.53,3862.53,3861.53,3861.94
1,3862.03,3862.22,3861.53,3861.94
1,3862,3862.31,3861.5,3862.25
1,3862.28,3863.28,3861.38,3862.28
1,3862.22,3863.81,3862.09,3863.41
0,3863.5,3864.25,3863.09,3864.22
0,3864.44,3864.44,3863.28,3863.44
1,3863.38,3863.53,3862.13,3863.34
1,3863.16,3863.59,3863.06,3863.44
0,3863.63,3864.06,3863.5,3863.81
1,3863.78,3863.78,3862.97,3863
1,3863.16,3863.31,3862.72,3863.03
0,3863.22,3863.59,3862.81,3863.44
0,3863.66,3863.66,3862.78,3862.94
0,3863,3863.41,3862.56,3862.66
0,3862.5,3862.72,3861.22,3861.66
0,3861.69,3861.88,3861.16,3861.66
0,3861.56,3861.66,3860.84,3860.91
1,3860.94,3861,3858.19,3858.47
1,3858.56,3859.16,3858.19,3858.72
1,3858.78,3860.06,3858.59,3859.91
1,3860.19,3860.88,3859.88,3860.72
1,3860.66,3862.13,3860.06,3862
0,3862.31,3862.78,3861.56,3862.78
1,3862.66,3862.94,3862.09,3862.63
1,3862.75,3862.97,3861.75,3862.75
1,3862.88,3864.47,3862.88,3864.47
1,3864.44,3869.44,3864.38,3869.16
0,3868.97,3871.88,3868.44,3871.88
0,3872.13,3872.75,3870.78,3870.78
0,3870.66,3870.75,3868.63,3870.41
1,3870.56,3870.56,3867.75,3868.59
1,3868.94,3869.56,3867.59,3869.22
1,3869.63,3871.03,3869.09,3870.75
0,3870.69,3871.88,3870.63,3871.56
0,3871.66,3871.66,3869.72,3870.41
0,3870.66,3870.66,3869.13,3869.75
0,3869.84,3870.16,3868.69,3868.78
0,3868.84,3868.88,3867.72,3868.59
1,3869.03,3869.03,3867.94,3868.41
1,3868.75,3869.88,3868.75,3869.53
1,3870.19,3870.38,3869.25,3870.34
0,3870.47,3871.19,3870.25,3870.41
0,3870.19,3870.63,3869.31,3869.34
0,3869.22,3869.72,3867.78,3867.78
1,3867.91,3867.91,3866.25,3866.28
1,3866.06,3866.94,3865.41,3866.81
1,3866.72,3867.41,3865.84,3867.41
1,3867.5,3869.22,3867.5,3869
1,3869.13,3870.22,3868.81,3870.16
0,3870.13,3871.78,3869.94,3871.44
1,3871.66,3871.66,3870.44,3870.81
1,3871.47,3872.16,3870.59,3872.16
0,3872.31,3872.5,3871.5,3872.38
0,3872.97,3872.97,3871.59,3871.88
0,3871.81,3871.91,3870.19,3870.47
0,3870.41,3870.5,3869.16,3869.88
1,3869.91,3870.59,3868.88,3869.31
1,3869.5,3869.88,3868.56,3869.81
0,3877.25,3882.97,3877.25,3881.63
1,3881.75,3882.78,3880.53,3880.53
1,3880.34,3881.84,3879.69,3881.63
1,3881.78,3883.91,3881.5,3883.75
0,3883.78,3886.75,3883.78,3886.69
0,3886.53,3888.44,3885.22,3885.25
1,3885.31,3886.19,3884.69,3885.09
0,3885.25,3888.03,3885.19,3887.88
0,3887.72,3888.06,3886.28,3886.28
0,3886.25,3886.56,3885.09,3885.19
0,3885.47,3885.97,3883.47,3883.66
1,3883.5,3883.66,3882.53,3882.53
1,3882.72,3883.19,3882.03,3883.19
1,3883.16,3884.81,3883.16,3884.28
1,3884.09,3884.91,3884,3884.72
0,3884.78,3886.66,3884.66,3885.34
1,3885,3885.5,3883.5,3883.75
0,3883.5,3885.38,3882.97,3884.88
0,3884.97,3884.97,3881.81,3881.84
0,3881.88,3881.88,3878.94,3880.19
1,3880.09,3880.13,3878.94,3879.78
0,3879.72,3881.44,3879.41,3881.44
1,3881.31,3881.31,3877.47,3877.47
0,3877.75,3879.09,3877.5,3878.84
1,3878.97,3879.53,3877.72,3878
0,3878.25,3879,3877.38,3878.78
0,3878.66,3879.22,3876.72,3877.03
1,3877.19,3877.19,3873.09,3873.81
0,3874.13,3875.56,3873.38,3875.56
1,3876.06,3876.06,3873.72,3874.03
0,3873.88,3874.25,3873.5,3874.19
0,3873.97,3874.75,3873.19,3873.19
1,3873.31,3873.31,3871.81,3873.16
1,3873.09,3873.88,3872.88,3873.88
0,3873.38,3875,3873.38,3874.69
1,3874.53,3874.53,3873,3873.84
1,3874,3876.69,3873.75,3876.69
0,3876.44,3877.41,3876.09,3877.41
0,3877.25,3877.38,3876.28,3876.78
0,3876.81,3876.81,3874.19,3874.63
0,3874.5,3874.53,3866.63,3866.84
0,3867.09,3867.09,3859.97,3860.44
0,3858.22,3858.22,3851.94,3856.88
1,3856.91,3857.63,3850.94,3851.38
0,3851.75,3852.34,3848.59,3852.34
1,3852.06,3852.41,3850,3852
0,3852.25,3856.03,3852.13,3854.78
1,3854.81,3854.81,3850.78,3851.28
1,3851.22,3853.19,3851.22,3852.91
0,3853.16,3855.78,3853.16,3855.59
1,3855.53,3855.88,3853.84,3854.5
0,3854.47,3856.66,3854.16,3856.34
1,3856.03,3856.06,3852.16,3852.53
0,3852.56,3854.97,3852.31,3854.97
0,3854.94,3855.22,3854.47,3854.84
0,3854.94,3855,3851.84,3851.84
0,3851.91,3852.34,3848.38,3848.38
1,3847.88,3847.97,3845.44,3846.38
0,3846.63,3848,3846.34,3847.75
0,3848.03,3848.13,3844.25,3844.81
0,3844.72,3845.94,3844.09,3844.44
1,3843.88,3843.88,3840.47,3840.81
1,3840.91,3842.94,3840.75,3842.66
1,3842.59,3843.44,3842.22,3843.38
1,3843.5,3845.28,3843.44,3844.03
0,3843.84,3846.53,3843.84,3846.47
1,3846.44,3847.41,3845.97,3846.28
0,3845.97,3847.06,3845.22,3846.66
1,3846.69,3846.69,3842.91,3843.91
1,3843.97,3847.41,3843.97,3847.41
1,3847.44,3848.19,3846.63,3847.69
0,3847.47,3850.44,3847,3850.44
1,3850.47,3851.53,3849.44,3849.72
1,3849.34,3850.5,3848.97,3850.44
0,3850.69,3851.97,3850.34,3851.97
1,3852.03,3852.13,3850.28,3850.5
0,3850.59,3851.28,3849.72,3851.28
1,3851.38,3852.41,3849.81,3849.81
0,3849.75,3850.63,3848.59,3850.59
0,3850.5,3850.63,3848.09,3848.5
1,3848.53,3848.53,3846,3846
1,3846.06,3846.31,3845.25,3846.31
1,3846.28,3847.91,3845.88,3847.81
1,3847.75,3849,3847.59,3849
0,3849.03,3849.34,3848.25,3849.31
1,3848.72,3849.38,3847.78,3848.69
1,3848.78,3849.22,3848.41,3849.22
0,3849.19,3850,3848.69,3849.53
0,3849.38,3849.72,3848.81,3849.09
0,3849.13,3850,3847.03,3848.47
0,3848.41,3848.41,3847.19,3847.19
1,3847.41,3848.03,3846.31,3847.09
1,3847,3848.5,3846.56,3847.91
0,3847.94,3849.75,3847.75,3849.47
0,3849.34,3849.59,3847.44,3847.97
1,3848.25,3848.28,3846.97,3847.78
1,3847.63,3848,3847.25,3847.94
1,3847.97,3848.47,3847.56,3848.47
0,3848.28,3848.94,3848.06,3848.5
0,3848.41,3848.53,3848.09,3848.16
1,3848.09,3848.34,3847.31,3847.5
0,3847.44,3848.78,3847.03,3848.69
1,3848.56,3848.94,3848.03,3848.31
0,3848.22,3849.72,3848.22,3849.72
1,3849.88,3849.91,3847.91,3848.91
1,3849.13,3849.47,3848.31,3849.47
1,3849.44,3849.84,3849.38,3849.69
1,3849.53,3850.28,3849.06,3850.22
1,3850.41,3851.19,3850.06,3850.66
1,3850.78,3851.5,3850.56,3851.09
1,3850.97,3852.34,3850.66,3852.25
0,3852.47,3853,3852.44,3852.56
1,3852.59,3852.59,3850.38,3850.69
1,3850.75,3851.22,3850.44,3851.03
0,3851,3851.28,3850.41,3851.09
